Question,Answer
Purpose of the Dashboard?,
what is the name of the dashboard?,
 what kind of mode  do you need (Dark mode or light mode )?,
 Wher to be create this dashboard?Existing app or New app,
dashboard studio or Classic dashboard?,
Mathamatic logic panels?,
filters,
"what are the Panels,list,name,chart want?",
